DR2Name,KIC,RA,Dec,Gmag,BP_RP,parallax,pmra,pmde,rv_gaia,erv_gaia,Prot,RV_lam,e_RV_lam,Teff_lam,e_Teff_lam,logg_lam,e_logg_lam,feh_lam,e_feh_lam,afe_lam,e_afe_lam
Gaia DR2 2050248955672927744,1025986,291.03375,36.771137,10.0570,0.847284,8.8997513,11.035857,21.341856,-28.191136,1.4809337,9.72400,-46.9085,6.96118,5698.99,32.1638,4.44903,0.0729940,0.0156881,0.0462010,-0.00219407,0.0263526
Gaia DR2 2050236143797351808,1026474,291.14900,36.723814,15.4588,1.76392,2.6748713,-9.9854044,-0.26664989,0.0000000,NaN,1.56900,-2.69813,1.19917,4337.47,79.0564,4.49049,0.208060,-0.952368,0.128768,0.208172,0.0600078
Gaia DR2 2050239511051851136,1027016,291.26684,36.779943,14.1560,1.30941,2.1553347,7.2652615,2.4134234,0.0000000,NaN,1.25700,-41.7101,3.95126,4869.07,36.1768,4.55736,0.0662855,-0.0652450,0.0441894,0.0658646,0.0219733
Gaia DR2 2051694572946664960,1028018,291.47131,36.799824,12.6811,0.942397,2.6838798,3.4016568,-3.0176969,0.0000000,NaN,0.621000,-24.3312,6.64940,5542.87,23.4153,4.23589,0.0512186,-0.237506,0.0360558,-0.00968411,0.0160846
Gaia DR2 2050252842630106496,1160891,290.92442,36.828289,13.2300,0.998978,0.75959319,-1.5332612,-5.8678851,0.0000000,NaN,0.868000,-28.7111,12.4594,6773.86,48.3822,3.96572,0.0901680,-0.193356,0.0575982,0.140293,0.0364400
Gaia DR2 2050253667263886720,1160947,290.93868,36.899223,15.8544,1.47593,1.6000668,-4.7370123,4.5974119,0.0000000,NaN,25.1550,47.6460,35.3755,4731.71,145.685,4.62055,0.262497,-0.462260,0.160598,0.157111,0.0806870
Gaia DR2 2050243187543742336,1161620,291.10930,36.800030,13.5129,0.825472,1.7451003,3.4661978,-1.7449424,0.0000000,NaN,6.63600,-6.10977,6.66139,5869.53,31.8481,4.50453,0.0730836,0.0188104,0.0478941,0.00503726,0.0278842
Gaia DR2 2050243634220456448,1162051,291.20214,36.850789,12.4127,0.894719,3.3599775,-9.1934360,-30.568982,18.419157,0.77928270,19.3880,10.6486,4.20009,5610.90,19.4522,4.42970,0.0378825,-0.173319,0.0325381,0.0428111,0.0125305
Gaia DR2 2050241710075252352,1162715,291.35180,36.881320,13.6120,0.898223,1.9545709,-2.8261826,-14.094266,0.0000000,NaN,6.62500,2.29941,4.61081,5603.86,23.2160,4.41723,0.0480464,-0.0684590,0.0361390,0.0174323,0.0155381
Gaia DR2 2051694989565637760,1163579,291.54646,36.855492,13.1620,0.879368,1.6453436,0.24890979,3.8686524,-14.035606,7.6881525,5.42900,-24.4301,4.58083,5642.15,19.6979,4.49558,0.0387582,-0.140231,0.0303244,0.00840268,0.0124546
Gaia DR2 2050254457537860608,1292666,290.91090,36.915175,13.2880,0.916358,2.0157436,-3.5933091,4.4246816,0.0000000,NaN,18.4370,-27.5899,3.63948,5558.20,19.2857,4.41944,0.0381780,0.288889,0.0257074,0.0118329,0.0113849
Gaia DR2 2050257652993785600,1293671,291.18492,36.966306,13.7100,1.18773,0.82296313,-0.44849574,-0.060559938,0.0000000,NaN,51.5630,-83.1714,4.13114,5055.72,28.8409,3.70537,0.0585074,0.0788543,0.0269982,0.0195715,0.0149090
Gaia DR2 2050245970682768640,1293907,291.23813,36.945372,13.9037,1.16487,2.0660971,-6.8996477,-12.497377,0.0000000,NaN,26.5470,4.41894,4.32900,5077.25,26.7120,4.56824,0.0500569,-0.118118,0.0365269,0.0728600,0.0154338
Gaia DR2 2050245901963299328,1293993,291.25613,36.936509,14.7366,1.18025,1.7515825,3.1089943,-6.1248500,0.0000000,NaN,21.2160,-13.3887,3.83135,4981.23,43.3975,4.66901,0.0770216,0.0763359,0.0492995,0.00778690,0.0256485
Gaia DR2 2051744914267116544,1295195,291.51415,36.968471,13.7798,1.22503,2.9611933,7.0237524,8.8446275,0.0000000,NaN,22.3340,-31.4992,4.32001,4893.61,25.3958,4.56001,0.0467510,0.154380,0.0350970,0.0442323,0.0148414
Gaia DR2 2051744433230856192,1295597,291.59771,36.982229,13.2768,0.802011,1.9254033,5.1194413,0.070448252,0.0000000,NaN,13.4980,-14.7708,4.68875,5861.91,21.2151,4.40078,0.0415657,-0.205255,0.0367530,0.0307033,0.0153147
Gaia DR2 2051702789226395520,1296255,291.72305,36.974402,15.0804,0.926423,0.64608904,-7.1150381,-7.6777670,0.0000000,NaN,4.72100,-49.1810,6.43954,5934.20,65.8326,4.39922,0.133535,0.160114,0.0748630,0.0428271,0.0471383
Gaia DR2 2051699937368191744,1297058,291.90343,36.947406,14.3901,1.11207,1.9769496,-7.3186769,5.2257790,0.0000000,NaN,27.2570,-55.7314,4.08018,5052.73,43.6478,4.52205,0.0807947,-0.0635234,0.0493735,0.0301172,0.0259444
Gaia DR2 2051006764005686144,1429893,290.82815,37.027864,13.7778,1.18058,2.9091013,-18.297586,-20.674377,0.0000000,NaN,35.5640,-11.6799,4.17911,4958.70,25.3287,4.69411,0.0476239,0.0284004,0.0346443,0.0131393,0.0143515
Gaia DR2 2051011540009372288,1430349,290.93959,37.006425,15.0925,1.49235,2.5216271,1.0682108,16.680719,0.0000000,NaN,34.7170,-9.76124,4.22108,4489.06,71.6895,4.52450,0.119084,-0.362809,0.0792288,0.127072,0.0389602
Gaia DR2 2050262188479285632,1431116,291.14112,37.058812,13.3875,1.42566,4.6341655,23.784021,11.456451,0.0000000,NaN,38.7570,-3.48059,4.40995,4673.09,99.4645,4.92467,0.176943,0.0567810,0.112473,0.0250198,0.0587600
Gaia DR2 2051747594326601216,1432022,291.34420,37.012557,14.7726,0.972335,1.2977271,-1.3882912,-9.6619791,0.0000000,NaN,24.6330,6.47852,5.59113,5423.65,51.0774,4.53094,0.0975322,-0.0885138,0.0563227,0.0413076,0.0321947
Gaia DR2 2051761303862291840,1432091,291.36046,37.099165,15.6584,1.04886,0.68926564,2.0122016,-5.5681982,0.0000000,NaN,4.68500,-46.4798,4.26904,5466.90,106.239,4.50918,0.190962,0.123251,0.0938544,0.0173291,0.0578096
Gaia DR2 2051749793349996160,1432469,291.43230,37.093541,12.6530,0.930546,3.0133743,9.7432907,10.841528,-27.257740,1.5462824,24.7260,-35.4714,3.60950,5501.34,20.3779,4.38432,0.0407475,0.0927633,0.0277019,0.0360071,0.0118479
Gaia DR2 2051748590759138944,1432551,291.44995,37.057733,13.4410,0.977446,1.8639401,-1.4996688,-1.1935023,0.0000000,NaN,12.0410,-30.8157,6.03782,5366.31,34.8397,4.61957,0.0664282,-0.157820,0.0451952,0.0236079,0.0225849
Gaia DR2 2051748728198135040,1432745,291.48819,37.073144,13.1709,1.41331,5.3562483,7.9689645,10.590412,-28.477347,1.9925314,22.1890,-36.0590,3.93028,4613.25,32.8823,4.61935,0.0558253,-0.0782975,0.0401531,0.0631160,0.0181367
Gaia DR2 2051704021876984960,1433642,291.69011,37.054429,14.4031,1.10808,1.6658189,-0.28886073,8.1115703,0.0000000,NaN,12.7570,-26.3398,4.01122,5144.07,39.0088,4.52160,0.0729330,0.0965428,0.0443350,-0.0187041,0.0253123
Gaia DR2 2051705190108058112,1433899,291.74823,37.035086,15.2026,1.11865,1.1150067,0.39989643,1.8370529,0.0000000,NaN,11.3170,-14.1112,4.43993,4989.22,86.6149,4.57273,0.143542,-0.193980,0.0854911,-0.0321191,0.0496213
Gaia DR2 2051704232335480320,1434259,291.82372,37.018245,12.0662,0.685265,1.3147098,-6.2705560,-15.729800,0.0000000,NaN,8.72700,38.4993,5.83096,6319.90,20.8579,4.06412,0.0449849,-0.0299671,0.0324345,0.00971633,0.0175273
Gaia DR2 2051704953890021504,1434277,291.82713,37.080847,11.1389,0.846108,5.3046777,18.800994,27.366481,-28.857210,0.90801501,10.4460,-39.5786,4.17911,5721.83,19.0120,4.46588,0.0377356,0.0458104,0.0287351,-0.00277617,0.0124302
Gaia DR2 2051701277398056704,1434286,291.82866,37.009979,13.5920,0.865108,1.3231390,3.0964343,1.1442437,0.0000000,NaN,11.9830,-29.3107,4.91060,5863.40,17.8380,4.49011,0.0382852,0.0638691,0.0296842,0.0486459,0.0143274
Gaia DR2 2051700762001969920,1434708,291.92752,37.026291,13.5098,1.02345,2.3975392,5.3448700,-3.3794406,0.0000000,NaN,19.5260,-47.3102,3.45061,5300.77,21.3259,4.48454,0.0419572,0.174343,0.0278824,0.0146548,0.0115364
Gaia DR2 2051724092264677248,1434976,291.98154,37.030562,14.7529,1.31341,2.0689753,-8.4913073,-8.4786399,0.0000000,NaN,32.0710,-50.1913,3.12084,4851.18,63.5782,4.87384,0.110192,0.324332,0.0645731,-0.0108787,0.0395389
Gaia DR2 2051712680531010816,1435229,292.02977,37.021509,14.5982,1.68428,3.7356173,-4.2845233,-23.555152,0.0000000,NaN,23.4690,17.4989,3.81036,4347.58,52.0131,4.48847,0.0976873,-0.683021,0.0682795,0.153546,0.0315554
Gaia DR2 2051712616112104704,1435272,292.04173,37.022978,13.5918,0.793785,0.84605709,-6.2430981,-5.8944513,0.0000000,NaN,5.57900,-53.2312,6.49950,6229.66,33.7697,4.10228,0.0835256,0.192706,0.0497196,-0.00885530,0.0322228
Gaia DR2 2051719556779467136,1436140,292.22092,37.097367,15.6485,1.17824,1.4452262,-10.191514,-15.234929,0.0000000,NaN,25.3850,19.3186,5.24937,5117.60,124.432,4.68397,0.210849,-0.00154208,0.121888,0.0500678,0.0690121
Gaia DR2 2051023016161911680,1570150,290.68385,37.139834,12.9189,0.727884,1.8492435,-0.25733914,-1.1557680,0.0000000,NaN,1.89400,-40.1512,5.60912,6134.01,19.5282,4.39012,0.0394540,-0.108803,0.0319907,0.0232439,0.0157537
Gaia DR2 2051010921534018304,1570349,290.73264,37.107991,14.1403,0.894927,0.98319772,2.2478350,-9.5537471,0.0000000,NaN,0.585000,-20.2600,6.84126,5800.42,34.3002,4.15805,0.0779625,-0.153090,0.0496918,0.0838261,0.0303168
Gaia DR2 2051016419092259584,1570915,290.86163,37.155042,13.8465,1.64926,3.9224612,-2.6875192,-3.7798788,0.0000000,NaN,12.3150,-45.6614,4.91060,4360.64,27.0069,4.45436,0.0471985,-0.557351,0.0355004,0.165255,0.0129251
Gaia DR2 2051016797049427968,1571003,290.88510,37.196461,14.4100,1.22428,2.4693290,0.15626071,-12.919009,0.0000000,NaN,9.72600,9.70128,3.33069,4857.36,62.3556,4.57955,0.103924,-0.167598,0.0648569,0.0390807,0.0338697
Gaia DR2 2051014804184830080,1571364,290.96362,37.152793,14.4154,1.40327,3.1387432,-14.802556,-3.5674151,0.0000000,NaN,20.4490,6.51149,3.45960,4604.99,44.8215,4.53864,0.0770570,-0.290680,0.0516786,0.0887938,0.0250934
Gaia DR2 2051764052641296512,1572558,291.23763,37.148726,13.8456,0.949023,1.3863689,-1.1123622,-6.0720482,0.0000000,NaN,3.99500,-18.1704,4.86863,6013.73,20.5583,4.43560,0.0423875,-0.0653237,0.0351509,0.0184037,0.0179265
Gaia DR2 2051762643892077952,1572802,291.29575,37.155865,15.3051,1.81316,3.3240960,-4.4555897,2.6885106,0.0000000,NaN,0.374000,-19.7114,1.74779,4150.29,66.8646,4.55062,0.122462,-0.670985,0.0824950,0.0169960,0.0402088
Gaia DR2 2051762472093410176,1572895,291.31748,37.163099,13.0598,0.907345,2.0605590,10.325793,0.70433626,-23.257738,1.7330186,26.0520,-33.4988,3.69045,5582.07,18.8857,4.40533,0.0380077,0.139737,0.0278014,0.0145271,0.0118978
Gaia DR2 2051750205666895232,1573478,291.43077,37.151724,15.6713,1.56770,1.3047393,1.3606237,7.1827146,0.0000000,NaN,18.0180,-29.0289,3.78938,4731.18,92.7724,4.65888,0.152994,-0.0271917,0.0953908,0.0629665,0.0475051
Gaia DR2 2051749106155272704,1573742,291.48410,37.100997,13.5090,0.771082,1.4290729,6.1355209,6.3290847,0.0000000,NaN,8.61300,-42.4506,6.17872,6070.98,51.9709,4.44557,0.108464,-0.0718266,0.0678599,0.000843639,0.0460734
Gaia DR2 2051755978103011200,1573836,291.50243,37.177483,13.1012,0.746664,1.6194663,2.6526263,0.042836645,1.1076151,7.1022245,3.56200,-25.4014,6.49051,6522.89,22.5735,3.99414,0.0443630,-0.385931,0.0368183,0.0669522,0.0158665
Gaia DR2 2051751335234442624,1574646,291.66580,37.112722,11.9542,0.766883,1.7957679,14.039539,5.4821223,0.0000000,NaN,19.2510,-27.3890,5.36928,6160.85,20.1638,4.58288,0.0387594,-0.0670367,0.0321596,0.0560134,0.0138164
Gaia DR2 2051752610848750592,1574944,291.72952,37.115804,14.9940,1.27376,1.8863909,-1.3141120,1.1392711,0.0000000,NaN,17.6650,-25.4314,4.44892,4833.20,82.1963,4.60625,0.139703,-0.00984827,0.0849607,-0.0659163,0.0474121
Gaia DR2 2051729624182562304,1575580,291.86135,37.171495,11.7826,0.825046,3.7490118,-10.667011,-12.667272,-12.251239,0.55026650,15.9680,-27.3111,3.52856,5779.26,17.9767,4.41187,0.0364042,0.0933324,0.0288090,0.00522350,0.0126446
Gaia DR2 2051726806684253184,1576970,292.14592,37.167954,15.7068,1.05968,0.73354463,-2.1914300,-9.3090462,0.0000000,NaN,22.2960,9.21862,4.86863,5511.12,93.3629,4.75541,0.164183,0.0219713,0.0954685,-0.0342669,0.0582318
Gaia DR2 2051027208049976320,1717515,290.57349,37.228010,14.0823,1.14748,2.3344217,4.7800564,4.1799304,0.0000000,NaN,29.2510,-25.5393,4.29902,5003.06,30.8610,4.45080,0.0574790,0.182224,0.0368814,-0.00783063,0.0192280
Gaia DR2 2051030781462923520,1718354,290.76779,37.291678,13.8199,0.704315,0.65793697,-1.1930438,-6.2736567,0.0000000,NaN,1.62000,1.40003,8.49012,6646.51,37.6858,3.99549,0.0745925,-0.315128,0.0512522,0.0406283,0.0291509
Gaia DR2 2051029956829203200,1718401,290.78140,37.277001,12.6129,0.703914,1.9362255,5.7344561,7.4649343,-32.950745,1.8666940,6.98000,-44.3603,4.82066,6207.89,18.5448,4.31741,0.0360833,-0.151276,0.0349089,0.00743331,0.0141735
Gaia DR2 2051017827841550464,1718520,290.81152,37.233474,13.7264,0.972227,1.0239274,-2.0316565,-14.787071,0.0000000,NaN,5.61300,4.82966,6.85026,5845.98,29.1179,4.01841,0.0693718,-0.0477452,0.0447429,0.0599488,0.0250837
Gaia DR2 2051019305310376320,1718828,290.89005,37.258684,11.4756,0.652328,2.4873649,-1.7339806,-11.285689,-17.058972,1.5361096,22.0690,-26.0610,5.24037,6354.02,21.5129,4.08439,0.0430316,-0.363617,0.0377587,0.0793233,0.0159144
Gaia DR2 2052517011944900736,1719358,291.02166,37.276592,15.2232,1.26286,1.6907634,7.0358140,7.6288729,0.0000000,NaN,13.6430,-33.2110,3.07887,4779.29,63.5683,4.69751,0.108464,-0.00799134,0.0669209,0.0163667,0.0369106
Gaia DR2 2052517802218987904,1719974,291.17710,37.285733,12.0160,0.752572,1.9205268,3.6250245,-1.4703227,-22.579125,1.5185815,14.0640,-35.4804,4.26904,6070.36,13.6242,4.35560,0.0259660,0.0682859,0.0230061,-0.00441710,0.00990328
Gaia DR2 2051767282457162752,1720196,291.23600,37.297666,15.2225,1.31911,1.9010561,-6.0101444,5.1001285,0.0000000,NaN,12.4780,-7.42586,7.41087,4787.53,71.0367,4.77149,0.116102,-0.184010,0.0766663,0.0658563,0.0365696
Gaia DR2 2051758452004263936,1721614,291.55910,37.283102,12.8586,0.771710,1.5590516,5.2035718,12.856616,0.0000000,NaN,1.45300,-84.2597,5.86994,5940.88,22.1480,4.04343,0.0530003,-0.654535,0.0464777,0.0415989,0.0152043
Gaia DR2 2051757180693942400,1721879,291.61456,37.220921,13.9205,0.887835,1.3375317,-6.1446279,-12.256044,0.0000000,NaN,14.4360,-27.5509,5.53117,5815.32,24.0491,4.44621,0.0546053,0.113544,0.0377655,0.00666204,0.0202917
Gaia DR2 2051757283773164544,1721911,291.62055,37.227170,15.1738,1.99854,3.8423733,-19.970551,-23.612056,0.0000000,NaN,29.6200,7.34492,2.67415,4325.60,82.1306,4.75833,0.150151,-0.588574,0.0953446,0.114761,0.0478229
Gaia DR2 2051776765745271552,1722735,291.79103,37.200281,15.5140,0.948169,0.45189647,-2.1905497,-5.8171062,0.0000000,NaN,1.99300,-68.2298,10.4298,6226.04,86.4441,4.22012,0.212895,-0.391572,0.102840,0.00388351,0.0749738
Gaia DR2 2051727700037371264,1723845,292.01891,37.205588,13.0901,0.911725,2.5765583,1.7575279,5.1262044,0.0000000,NaN,9.37300,-62.9894,9.97110,5755.04,163.085,4.21132,0.319765,-0.0515265,0.151759,-0.0219020,0.102223
Gaia DR2 2051733472473635584,1724720,292.20475,37.275476,14.2205,0.982830,1.8383766,5.8326415,2.3099021,0.0000000,NaN,24.0500,-10.3488,5.36029,5387.36,39.3316,4.63589,0.0763331,-0.118135,0.0502415,0.0615789,0.0275428
Gaia DR2 2051723057169052544,1724975,292.25479,37.250216,12.2873,1.05850,3.5931192,2.1585579,-19.553392,-65.766672,8.3774143,10.7340,-94.6115,3.86133,5283.52,19.8297,4.48371,0.0358655,0.0144623,0.0293215,0.0526991,0.0104378
Gaia DR2 2051719247542076672,1725688,292.39306,37.215252,14.2880,0.982591,0.94348887,2.4317635,1.2303278,0.0000000,NaN,9.04200,-34.4402,5.66908,5622.93,37.6191,4.57828,0.0756515,0.119740,0.0502131,0.107948,0.0243536
Gaia DR2 2051076892233181440,1864124,290.46710,37.374857,11.5585,0.717566,2.1870325,1.4062728,-16.578392,-11.282252,0.83630052,7.28400,-22.0198,4.97056,6168.08,13.7044,4.11630,0.0274167,0.0330446,0.0237155,0.00238529,0.0105494
Gaia DR2 2051076205038451584,1864305,290.50993,37.373102,14.5820,1.05907,1.4805422,5.0822228,5.5585053,0.0000000,NaN,17.5770,-39.2908,4.02022,5317.53,40.1448,4.49090,0.0786418,0.167512,0.0469861,-0.00736192,0.0261240
Gaia DR2 2051034457955133824,1865136,290.70485,37.392626,11.8272,0.733991,1.6128774,5.7581977,6.0083936,-33.249240,2.8876381,14.2190,-35.2586,4.49989,6098.37,15.1883,3.92856,0.0311075,-0.0268245,0.0261300,-0.00270248,0.0113283
Gaia DR2 2051035591826501632,1865305,290.74110,37.360273,13.5207,0.781920,0.81791296,0.27898358,0.46525531,0.0000000,NaN,8.27000,-31.0195,7.20101,6574.64,22.4063,4.22747,0.0411401,-0.0979445,0.0308609,0.0106923,0.0159833
Gaia DR2 2051032946126550144,1865663,290.83071,37.387233,14.1699,1.58739,3.8627217,16.517625,33.146949,0.0000000,NaN,31.3190,-11.1403,3.19879,4468.05,36.9998,4.54578,0.0574754,-0.0316500,0.0416204,0.0878950,0.0198805
Gaia DR2 2052520757156432640,1866535,291.02721,37.352127,15.2308,1.88298,3.4330168,0.18706266,-0.090248832,0.0000000,NaN,24.9250,-54.7001,2.18549,4332.45,56.6259,4.45428,0.104971,-0.668347,0.0708250,0.154747,0.0328391
Gaia DR2 2052518248895625600,1867120,291.18042,37.352189,13.5074,0.819236,1.7893139,0.52782449,-16.873031,0.0000000,NaN,62.7470,-59.8086,5.32132,5696.62,23.0479,4.21096,0.0546510,-0.649253,0.0471851,0.175093,0.0161959
Gaia DR2 2052524399288853248,1867462,291.26418,37.382959,14.5930,1.41543,2.8409970,-4.4717853,13.091911,0.0000000,NaN,16.5270,-20.1610,2.97094,4542.54,59.0583,4.65877,0.0915341,-0.225774,0.0613493,0.0566459,0.0314257
Gaia DR2 2051773845167236352,1867630,291.30993,37.381347,12.5793,0.767424,1.0183204,1.1970423,-7.8892049,7.4098133,6.9153200,0.859000,-4.05020,6.16973,6853.83,22.0683,3.97831,0.0337835,-0.173058,0.0328891,0.128011,0.0131445
Gaia DR2 2051773501569851648,1867740,291.33837,37.348387,13.8908,0.996306,1.6062797,-1.1837725,-3.0512742,0.0000000,NaN,9.67100,14.3091,5.12945,5403.56,40.4646,4.67641,0.0774154,-0.110823,0.0512015,0.0199000,0.0285131
Gaia DR2 2051770374833464704,1868524,291.51301,37.309222,15.5766,1.29637,1.6129989,4.4524396,3.9993188,0.0000000,NaN,9.77100,-8.22031,3.51956,4752.85,85.6134,4.77063,0.139147,-0.293638,0.0853880,0.0577496,0.0449544
Gaia DR2 2051782568241032320,1869183,291.66261,37.365530,12.5043,0.778275,1.2530643,4.3133050,4.7219886,-36.588961,4.9444160,41.4000,-50.4491,5.14144,6353.06,18.0687,4.13654,0.0361318,0.0481303,0.0282376,0.0169999,0.0144566
Gaia DR2 2051782263303420416,1869231,291.67241,37.346585,15.5459,1.10346,0.95619101,1.2445607,-5.7371415,0.0000000,NaN,9.30700,-34.1014,4.83865,5175.64,116.642,4.14328,0.208601,-0.284065,0.110447,0.0894128,0.0669256
Gaia DR2 2051781610468412672,1869607,291.75413,37.311654,13.7842,0.987534,0.74669681,-0.31875046,-11.449431,0.0000000,NaN,11.0520,-42.0189,7.38089,6099.14,22.4965,3.96461,0.0508187,-0.423964,0.0435404,0.0787823,0.0190973
Gaia DR2 2051783568973541504,1869783,291.78741,37.394690,14.9121,1.36049,1.8450547,1.6753597,-14.467412,0.0000000,NaN,26.3080,-8.96979,3.30971,4805.31,49.4571,4.61277,0.0877105,0.136960,0.0569689,0.00420519,0.0302734
Gaia DR2 2051780407877627008,1870028,291.84610,37.377182,13.9537,0.928847,0.019454154,-1.0929319,-1.4150388,0.0000000,NaN,24.6090,-15.9100,4.43993,5849.23,22.5854,4.38348,0.0473135,0.267073,0.0338205,0.0373220,0.0159763
Gaia DR2 2051737492562927104,1871120,292.05911,37.311558,14.1248,1.81420,3.8651897,-2.1020053,-34.764744,0.0000000,NaN,37.8510,-13.1789,3.83135,4366.11,28.7760,4.58185,0.0484431,-0.376032,0.0351623,0.133951,0.0148382
Gaia DR2 2051737286404500352,1871176,292.07087,37.303946,13.9215,0.830322,0.66872203,-1.7150251,-4.7287303,0.0000000,NaN,1.79600,-23.0091,6.11876,6417.58,26.1575,4.20179,0.0579615,0.0857261,0.0383664,-0.0132451,0.0217329
Gaia DR2 2051723714308062720,1872192,292.29271,37.320204,13.6922,0.967373,1.9197646,1.0936636,-3.5149984,0.0000000,NaN,0.674000,-27.0593,7.21001,5412.65,39.4490,4.19309,0.0783597,-0.203461,0.0508012,0.0322048,0.0281654
Gaia DR2 2051817825621927168,1872547,292.36609,37.379511,13.4966,1.09884,0.26304263,-4.2022499,-8.4105374,0.0000000,NaN,9.61200,-7.59974,5.18041,5368.62,36.8966,3.32458,0.0838255,-0.0891371,0.0345971,-0.00246807,0.0227666
Gaia DR2 2051817825630298496,1872547,292.36582,37.379414,14.6209,NaN,-0.022005319,-1.8477075,-6.6848154,0.0000000,NaN,9.61200,-7.59974,5.18041,5368.62,36.8966,3.32458,0.0838255,-0.0891371,0.0345971,-0.00246807,0.0227666
Gaia DR2 2051817310234776192,1872974,292.45833,37.384118,14.5817,0.961969,1.1618636,4.9759884,2.0784027,0.0000000,NaN,8.95300,-44.1834,10.6696,5272.67,209.783,4.78438,0.337878,-0.0821762,0.199983,0.0692837,0.0991743
Gaia DR2 2051815798405934464,1873543,292.58449,37.395258,14.4322,2.22695,6.4981954,-11.020540,-47.459778,0.0000000,NaN,11.5480,25.7582,2.22746,4160.65,34.7821,4.47374,0.0912829,-1.09496,0.0587623,0.110524,0.0305155
Gaia DR2 2051815076851443840,1873656,292.61385,37.383206,13.8613,1.32430,2.7250833,8.7101458,13.378937,0.0000000,NaN,11.0820,-28.5792,3.65147,4858.62,29.0870,4.70394,0.0525272,0.0869391,0.0375559,-0.0256279,0.0170251
Gaia DR2 2051633176399732224,1874365,292.76708,37.365015,13.8408,0.951874,1.2182524,0.20513708,-6.0875467,0.0000000,NaN,9.62300,-8.69998,4.80867,5921.73,23.0784,4.18726,0.0507792,0.248824,0.0342437,0.0233910,0.0172936
Gaia DR2 2099082806850119936,1995155,286.04197,37.449749,15.3282,0.995485,1.0501082,8.0766580,3.3844762,0.0000000,NaN,21.1130,1.59789,10.0910,5382.09,256.156,4.34037,0.469000,-0.0878937,0.235478,0.0219129,0.141951
Gaia DR2 2099072979965026304,1995526,286.15283,37.483648,14.1401,0.927961,1.6614101,-1.5343683,2.8092302,0.0000000,NaN,19.1630,-24.1393,7.68968,5393.45,29.8272,4.41736,0.0579661,-0.197981,0.0410844,0.0510136,0.0191163
Gaia DR2 2099071846093695616,1995845,286.24521,37.459521,14.7917,0.940301,0.74195395,-0.98321581,-8.0842459,0.0000000,NaN,17.9100,-100.320,7.95050,5655.78,40.3075,3.93403,0.0934827,-0.302273,0.0575548,0.136478,0.0315630
Gaia DR2 2099068822436718592,1995910,286.26381,37.440613,15.3649,1.17447,1.3683530,-8.3602371,2.0686128,0.0000000,NaN,33.3370,-61.3555,5.80398,5124.71,594.697,5.11266,1.03360,0.192607,0.597435,0.177155,0.308965
Gaia DR2 2051081290279704448,2010152,290.37886,37.481481,13.3343,0.889603,2.2002541,11.357106,13.465770,0.0000000,NaN,18.5230,-66.1912,4.10116,5612.73,21.7249,4.41348,0.0436752,-0.359562,0.0385523,0.0846595,0.0139056
Gaia DR2 2051036313381042944,2011901,290.82698,37.449058,14.9352,1.02275,1.2327586,-3.4498898,-13.604652,0.0000000,NaN,14.5950,-3.75040,4.23907,5360.72,41.9712,4.45140,0.0799336,-0.117466,0.0487748,-0.00479770,0.0283213
Gaia DR2 2052534707210488576,2012093,290.86509,37.464771,12.8342,0.796487,1.2209871,2.2414315,-11.479244,0.0000000,NaN,8.39200,-86.5081,2.57222,6045.38,115.752,3.89598,0.414842,-1.92050,0.237229,0.00541955,0.0837929
Gaia DR2 2052533916936260096,2012565,290.97485,37.463345,13.2149,0.760179,1.2732560,-4.7849565,-2.4164180,0.0000000,NaN,2.80800,-6.75133,7.32093,6353.47,29.9013,4.22522,0.0650667,-0.208132,0.0451300,-0.00609538,0.0260131
Gaia DR2 2052533813857037312,2012631,290.98904,37.435089,14.3483,1.17466,2.0303102,-6.3630510,-15.466168,0.0000000,NaN,31.3550,-19.0998,3.81036,4960.35,29.1610,4.43366,0.0539779,0.289972,0.0345902,0.00195298,0.0183102
Gaia DR2 2052523196698000128,2013263,291.14147,37.488791,14.9544,1.12258,1.3936880,-0.80056878,-21.875542,0.0000000,NaN,22.6530,-26.9903,4.25106,5209.59,39.2168,4.53189,0.0738493,-0.0237306,0.0454084,0.00377477,0.0249013
Gaia DR2 2052522784381117952,2013284,291.14431,37.440022,14.3381,1.13013,1.7138070,8.5506878,4.5934944,0.0000000,NaN,21.1790,-39.5996,3.93028,5147.03,41.1063,4.46547,0.0776651,-0.0452861,0.0484696,0.0193071,0.0275832
Gaia DR2 2052519829443635584,2013503,291.19120,37.426062,13.7530,0.923089,1.7976939,-1.5151359,-6.1021318,0.0000000,NaN,19.0650,-17.1301,3.84034,5531.44,20.9749,4.42031,0.0433662,0.0729574,0.0297425,0.00905145,0.0135967
Gaia DR2 2052519554565731456,2013577,291.21380,37.409139,14.6965,1.28303,1.6491610,2.5730792,-11.268272,0.0000000,NaN,25.4590,-13.6885,3.01891,4798.61,36.7767,4.70676,0.0641029,-0.156619,0.0433019,0.0396641,0.0213522
Gaia DR2 2052525842397883008,2013627,291.22571,37.471765,14.3843,1.73996,3.3388379,4.2843835,-5.0358033,0.0000000,NaN,13.9600,-34.7310,3.21078,4359.61,42.3102,4.43763,0.0692633,-0.458553,0.0487564,0.100524,0.0224695
Gaia DR2 2051771955381705216,2015025,291.55955,37.421599,13.3759,1.22155,3.8829534,4.2109681,-3.6986273,0.0000000,NaN,10.2670,3.80137,3.84034,4883.44,29.2514,4.68542,0.0527654,-0.0390075,0.0380236,0.0114049,0.0171876
