DR2Name,KIC,RA,Dec,Gmag,BP_RP,parallax,pmra,pmde,rv_gaia,erv_gaia,Prot,RV_lam,e_RV_lam,Teff_lam,e_Teff_lam,logg_lam,e_logg_lam,feh_lam,e_feh_lam,afe_lam,e_afe_lam
Gaia DR2 2107559869697813504,10058376,283.90498,47.040709,13.9033,1.37428,3.3594081,-9.0572238,14.962440,0.0000000,NaN,31.7170,-33.1301,3.57053,4726.13,66.8709,4.69485,0.114471,0.175033,0.0720907,0.0586287,0.0403896
Gaia DR2 2107580863497981568,10058570,284.01616,47.096296,13.3743,1.39351,4.6410985,-13.817422,-40.281168,23.104677,1.3852998,28.2720,3.93927,4.19110,4663.44,24.6155,4.61016,0.0424937,-0.155558,0.0330595,0.0904756,0.0126288
Gaia DR2 2107392022377350784,10058843,284.15116,47.023201,13.2770,0.767592,1.5103264,-1.0018115,-1.7845894,0.0000000,NaN,12.6520,-16.9293,6.52948,5973.40,27.3491,4.36646,0.0637083,0.158930,0.0414850,0.00925122,0.0237074
Gaia DR2 2130616731613080832,10062593,286.05377,47.051383,13.2797,1.00837,2.8876124,2.3746398,4.9771730,0.0000000,NaN,7.88500,-22.9911,8.08840,5262.58,67.9945,4.60908,0.121632,-0.224248,0.0744709,0.0246095,0.0404896
Gaia DR2 2130606453751290368,10062715,286.12277,47.053695,15.1208,1.33519,1.9699062,-0.75684210,-0.17457448,0.0000000,NaN,17.9140,-19.3486,3.78938,4755.86,26.5999,4.73494,0.0473041,0.0320159,0.0340377,-0.00372286,0.0155274
Gaia DR2 2130606251892908416,10062762,286.14462,47.051579,13.4764,0.783977,1.1162522,-6.0878442,-7.5201020,0.0000000,NaN,5.16500,-2.47029,4.79068,5914.09,20.7549,4.27087,0.0423301,-0.0734637,0.0321868,0.0205749,0.0155898
Gaia DR2 2130605427259187072,10062798,286.17022,47.029436,15.6997,1.32466,1.4244287,-2.9263161,-9.6933911,0.0000000,NaN,17.1340,-7.97148,3.57053,4847.98,38.2149,4.64917,0.0702474,-0.0471994,0.0456123,0.0630160,0.0229663
Gaia DR2 2130606045734513664,10062905,286.22353,47.081049,12.9978,0.995797,3.5513838,-8.4669797,-7.0878241,-11.753834,2.3626769,19.5640,-22.5204,3.71143,5418.02,21.1210,4.54290,0.0390873,-0.147843,0.0309452,0.0765399,0.0115162
Gaia DR2 2130699641661009536,10062987,286.26193,47.086908,15.5585,1.17902,0.48693158,-6.6195574,-4.1022201,0.0000000,NaN,2.05200,-41.1405,5.45023,4927.61,74.1012,4.06788,0.156753,-0.550963,0.0776379,0.100491,0.0409095
Gaia DR2 2130696618004453120,10063075,286.30733,47.069063,12.9327,1.15028,4.3197676,22.914821,-12.023242,-6.5441141,1.6268698,32.1020,-21.3992,4.55085,4970.83,28.3147,4.67022,0.0533282,-0.0228660,0.0390591,0.00891604,0.0164862
